Text,Neg Senti,Neut Senti,Neg Senti,Real Lat,Real Lon,Real Country,Real Conti,Predicted Lat,Predicted Lon,,,,,lat error,lon error
"""Accident cleared in #PaTurnpike on PATP EB between PA-18 and Cranberry slow back to #traffic http://t.co/SL0Oqn0Vyr""",0.040706567,0.813052058,0.146241307,-75.27000427,41.08166122,England,Europe,34.4896447,-70.37533291,none,none,,,109.759649,111.4569941
"""Coincidence Or #Curse? Still #Unresolved Secrets From Past http://t.co/7VG8Df9pLE #accident""",0.400358856,0.565901339,0.033739813,-22.92956352,30.84178734,USA,NA,33.15063036,-67.27868316,none,none,,,56.08019388,98.1204705
"""There's a construction guy working on the Disney store and he has huge gauges in his ears ?? ...that is a bloody accident waiting to happen""",0.77299875,0.196202248,0.030799007,-81.53868866,28.37341499,USA,NA,31.84470934,-64.04772441,none,none,,,113.383398,92.4211394
"""FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps http://t.co/1CsEBhPLfh via @usatoday""",0.591988862,0.391033769,0.016977308,-96.90876007,32.61732483,USA,NA,32.46959009,-65.61548983,none,none,,,129.3783502,98.23281466
"""@pukesmoothie I don't understand WHY he would put us in that danger.""",0.91514498,0.080306664,0.0045483,-67.73305511,42.79472351,USA,NA,31.32751463,-62.81305552,none,none,,,99.06056974,105.607779
"""@Miss_Instiinctz or mostly around lava too""",0.108783692,0.846154392,0.045061871,-82.92079163,33.72685623,USA,NA,34.18194619,-69.78210403,none,none,,,117.1027378,103.5089603
"""4 dead dozens injured in Gaza blast near house leveled in summer war - Washington Post: New York Times4 dead... http://t.co/7C2qhMwtv5""",0.81639868,0.178978279,0.004623116,-72.46463013,41.12676239,USA,NA,31.67519563,-63.6685897,none,none,,,104.1398258,104.7953521
"""RICHIE: This was #Calgary yesterday after a crazy #hailstorm! pics via Calgary Herald http://t.co/1oH20qHk2l""",0.08085864,0.749595225,0.169546068,-114.1997223,51.0595932,South Africa,Africa,34.36238423,-70.03886924,none,none,,,148.5621065,121.0984624
"""Severe Thunderstorm 7 Miles North of Arcadia Moving SE At 20 MPH. 60 MPH Wind Gusts and Large Hail. Hail... #okwx http://t.co/WEd69e4KRg""",0.043329678,0.914276659,0.042393692,-102.1248398,37.70489883,Canada,NA,34.41125327,-70.33706644,none,none,,,136.5360931,108.0419653
"""#Children traumatised after the Nepal earthquake are educated on coping mechanisms. http://t.co/UbwDBydK1a""",0.30804345,0.648621798,0.043334719,86.59463501,26.97586441,USA,NA,33.47972406,-68.08006979,none,none,,,53.11491095,95.0559342
