Text,Neg Senti,Neut Senti,Neg Senti,Real Lat,Real Lon,Real Country,Real Conti,Predicted Lat,Predicted Lon
"""Accident cleared in #PaTurnpike on PATP EB between PA-18 and Cranberry slow back to #traffic http://t.co/SL0Oqn0Vyr""",0.040706567,0.813052058,0.146241307,-75.27000427,41.08166122,England,Europe,,
"""Coincidence Or #Curse? Still #Unresolved Secrets From Past http://t.co/7VG8Df9pLE #accident""",0.400358856,0.565901339,0.033739813,-22.92956352,30.84178734,USA,NA,,
"""There's a construction guy working on the Disney store and he has huge gauges in his ears ?? ...that is a bloody accident waiting to happen""",0.77299875,0.196202248,0.030799007,-81.53868866,28.37341499,USA,NA,,
"""FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps http://t.co/1CsEBhPLfh via @usatoday""",0.591988862,0.391033769,0.016977308,-96.90876007,32.61732483,USA,NA,,
"""@pukesmoothie I don't understand WHY he would put us in that danger.""",0.91514498,0.080306664,0.0045483,-67.73305511,42.79472351,USA,NA,,
"""@Miss_Instiinctz or mostly around lava too""",0.108783692,0.846154392,0.045061871,-82.92079163,33.72685623,USA,NA,,
"""4 dead dozens injured in Gaza blast near house leveled in summer war - Washington Post: New York Times4 dead... http://t.co/7C2qhMwtv5""",0.81639868,0.178978279,0.004623116,-72.46463013,41.12676239,USA,NA,,
"""RICHIE: This was #Calgary yesterday after a crazy #hailstorm! pics via Calgary Herald http://t.co/1oH20qHk2l""",0.08085864,0.749595225,0.169546068,-114.1997223,51.0595932,South Africa,Africa,,
"""Severe Thunderstorm 7 Miles North of Arcadia Moving SE At 20 MPH. 60 MPH Wind Gusts and Large Hail. Hail... #okwx http://t.co/WEd69e4KRg""",0.043329678,0.914276659,0.042393692,-102.1248398,37.70489883,Canada,NA,,
"""#Children traumatised after the Nepal earthquake are educated on coping mechanisms. http://t.co/UbwDBydK1a""",0.30804345,0.648621798,0.043334719,86.59463501,26.97586441,USA,NA,,
"""#yyc #hailstorm #christmas came early https://t.co/f0A2IIzx3A""",0.044942949,0.799522758,0.155534312,-75.06855774,40.38140488,Australia,Australia,,
"""On 70th anniversary of #Hiroshima bomb it is important to learn from history and ban this weapon.""",0.34214589,0.602960169,0.054893915,114.208252,32.54056931,Canada,NA,,
"""@wral there are now 5 fire trucks and 2 ambulances at Wellington ridge lp in Cary. one of the units is on fire. not sure on injuries""",0.424480766,0.544353843,0.031165387,-32.85007858,44.89552689,India,Asia,,
"""Plane debris is from #MH370 - it was a controlled crash. In other words it was mass murder by a musim http://t.co/J3xFDg9CWF @newscomauHQ""",0.834611058,0.1592931,0.006095863,101.5725479,2.607400894,USA,NA,,
"""Police continue to investigate fatal shooting on Vermont &amp; 14th Street http://t.co/daACJ5Hfmq""",0.487207592,0.498783052,0.014009415,-73.12710571,43.97462845,USA,NA,,
"""Ukraine famine memorial in progress since 2006 goes up in Washington: http://t.co/Td7VIEoODi""",0.151495025,0.818654895,0.029850084,-121.1128693,47.39171982,USA,NA,,
"""@gtiso Fair enough. Change always has unfortunate casualties. I like that @NzMorningReport utilises both Welly &amp; Aucklnd. We'll see.""",0.101517372,0.486101687,0.412380993,20.66262054,0.262911707,USA,NA,,
"""Abe proposed a new plan for abolishing nuclear weapons. Yesterday his defense minister made clear nukes are fine. http://t.co/A6IR8rKuwS""",0.124989629,0.683767855,0.191242442,-85.75057983,39.14452362,Japan,Asia,,
#Nepal Magnitude 4.3 tremor rattles #Dolakha as #aftershock counts 367 | Recent Natural Disasters : http://t.co/Re1d5ffcSx,0.257447839,0.710969865,0.031582341,28.3949,-84.124,Asia,Nepal,,
More Severe Weather Heads Toward Chicago Area: A brief violent storm swept through the Chicago area Sunday af... http://t.co/JWSLLsuKjg,0.199344888,0.760922432,0.039732758,27.9517,-87.6324,USA,NA,,
