Text,Neg Senti,Neut Senti,Neg Senti,Real Lat,Real Lon,Real Country,Real Conti,Predic Lat,Predict Lon,,,,error lat,error lon
"""Accident cleared in #PaTurnpike on PATP EB between PA-18 and Cranberry slow back to #traffic http://t.co/SL0Oqn0Vyr""",0.040706567,0.813052058,0.146241307,-75.27000427,41.08166122,England,Europe,34.12872201,-50.56256996,none,none,,109.3987263,91.64423118
"""Coincidence Or #Curse? Still #Unresolved Secrets From Past http://t.co/7VG8Df9pLE #accident""",0.400358856,0.565901339,0.033739813,-22.92956352,30.84178734,USA,NA,30.82516903,-44.90469015,none,none,,53.75473255,75.74647749
"""There's a construction guy working on the Disney store and he has huge gauges in his ears ?? ...that is a bloody accident waiting to happen""",0.77299875,0.196202248,0.030799007,-81.53868866,28.37341499,USA,NA,27.64566143,-39.30385568,none,none,,109.1843501,67.67727067
"""FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps http://t.co/1CsEBhPLfh via @usatoday""",0.591988862,0.391033769,0.016977308,-96.90876007,32.61732483,USA,NA,29.15705074,-41.98969826,none,none,,126.0658108,74.60702309
"""@pukesmoothie I don't understand WHY he would put us in that danger.""",0.91514498,0.080306664,0.0045483,-67.73305511,42.79472351,USA,NA,26.37667115,-37.11143976,none,none,,94.10972626,79.90616327
"""@Miss_Instiinctz or mostly around lava too""",0.108783692,0.846154392,0.045061871,-82.92079163,33.72685623,USA,NA,33.33157855,-49.30845428,none,none,,116.2523702,83.03531051
"""4 dead dozens injured in Gaza blast near house leveled in summer war - Washington Post: New York Times4 dead... http://t.co/7C2qhMwtv5""",0.81639868,0.178978279,0.004623116,-72.46463013,41.12676239,USA,NA,27.21803152,-38.59373326,none,none,,99.68266165,79.72049565
"""RICHIE: This was #Calgary yesterday after a crazy #hailstorm! pics via Calgary Herald http://t.co/1oH20qHk2l""",0.08085864,0.749595225,0.169546068,-114.1997223,51.0595932,South Africa,Africa,33.83705159,-50.01314647,none,none,,148.0367739,101.0727397
"""Severe Thunderstorm 7 Miles North of Arcadia Moving SE At 20 MPH. 60 MPH Wind Gusts and Large Hail. Hail... #okwx http://t.co/WEd69e4KRg""",0.043329678,0.914276659,0.042393692,-102.1248398,37.70489883,Canada,NA,33.8830233,-50.28508691,none,none,,136.0078631,87.98998574
"""#Children traumatised after the Nepal earthquake are educated on coping mechanisms. http://t.co/UbwDBydK1a""",0.30804345,0.648621798,0.043334719,86.59463501,26.97586441,USA,NA,31.63164888,-46.3127424,none,none,,54.96298613,73.28860681
"""#yyc #hailstorm #christmas came early https://t.co/f0A2IIzx3A""",0.044942949,0.799522758,0.155534312,-75.06855774,40.38140488,Australia,Australia,34.11264972,-50.52027273,none,none,,109.1812075,90.90167761
"""On 70th anniversary of #Hiroshima bomb it is important to learn from history and ban this weapon.""",0.34214589,0.602960169,0.054893915,114.208252,32.54056931,Canada,NA,31.36621244,-45.82722009,none,none,,82.84203956,78.3677894
"""@wral there are now 5 fire trucks and 2 ambulances at Wellington ridge lp in Cary. one of the units is on fire. not sure on injuries""",0.424480766,0.544353843,0.031165387,-32.85007858,44.89552689,India,Asia,30.61429165,-44.53661284,none,none,,63.46437023,89.43213973
"""Plane debris is from #MH370 - it was a controlled crash. In other words it was mass murder by a musim http://t.co/J3xFDg9CWF @newscomauHQ""",0.834611058,0.1592931,0.006095863,101.5725479,2.607400894,USA,NA,27.06614309,-38.32367873,none,none,,74.50640481,40.93107962
"""Police continue to investigate fatal shooting on Vermont &amp; 14th Street http://t.co/daACJ5Hfmq""",0.487207592,0.498783052,0.014009415,-73.12710571,43.97462845,USA,NA,30.04308861,-43.55574735,none,none,,103.1701943,87.5303758
"""Ukraine famine memorial in progress since 2006 goes up in Washington: http://t.co/Td7VIEoODi""",0.151495025,0.818654895,0.029850084,-121.1128693,47.39171982,USA,NA,32.93527592,-48.6322959,none,none,,154.0481452,96.02401572
"""@gtiso Fair enough. Change always has unfortunate casualties. I like that @NzMorningReport utilises both Welly &amp; Aucklnd. We'll see.""",0.101517372,0.486101687,0.412380993,20.66262054,0.262911707,USA,NA,34.18351998,-50.25974322,none,none,,13.52089944,50.52265493
"""Abe proposed a new plan for abolishing nuclear weapons. Yesterday his defense minister made clear nukes are fine. http://t.co/A6IR8rKuwS""",0.124989629,0.683767855,0.191242442,-85.75057983,39.14452362,Japan,Asia,33.50805064,-49.4002943,none,none,,119.2586305,88.54481792
#Nepal Magnitude 4.3 tremor rattles #Dolakha as #aftershock counts 367 | Recent Natural Disasters : http://t.co/Re1d5ffcSx,0.257447839,0.710969865,0.031582341,28.3949,-84.124,Asia,Nepal,32.03707068,-47.04545794,none,none,,3.64217068,37.07854206
More Severe Weather Heads Toward Chicago Area: A brief violent storm swept through the Chicago area Sunday af... http://t.co/JWSLLsuKjg,0.199344888,0.760922432,0.039732758,27.9517,-87.6324,USA,NA,32.54920846,-47.93652303,none,none,,4.59750846,39.69587697
,,,,,,,,,,,,,88.78437858,75.68586369
